dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1911-01-01,25.197,0.912,Acre,Brazil
1911-02-01,25.565,0.816,Acre,Brazil
1911-03-01,24.937,0.545,Acre,Brazil
1911-04-01,25.039,1.007,Acre,Brazil
1911-05-01,24.696,0.706,Acre,Brazil
1911-06-01,24.445,0.669,Acre,Brazil
1911-07-01,24.599,0.73,Acre,Brazil
1911-08-01,25.56,0.536,Acre,Brazil
1911-09-01,26.508,0.649,Acre,Brazil
1911-10-01,26.527,0.478,Acre,Brazil
1911-11-01,26.251,0.563,Acre,Brazil
1911-12-01,26.334,0.78,Acre,Brazil
1912-01-01,26.391,1.265,Acre,Brazil
1912-02-01,26.167,0.775,Acre,Brazil
1912-03-01,26.08,0.774,Acre,Brazil
1912-04-01,26.243,0.482,Acre,Brazil
1912-05-01,25.611,0.912,Acre,Brazil
1912-06-01,24.734,0.687,Acre,Brazil
1912-07-01,24.326,0.524,Acre,Brazil
1912-08-01,25.42,0.814,Acre,Brazil
1912-09-01,26.44,0.566,Acre,Brazil
1912-10-01,26.413,1.157,Acre,Brazil
1912-11-01,25.418,0.741,Acre,Brazil
1912-12-01,25.311,0.569,Acre,Brazil
1913-01-01,25.429,0.544,Acre,Brazil
1913-02-01,24.938,0.713,Acre,Brazil
1913-03-01,25.612,0.72,Acre,Brazil
1913-04-01,25.242,0.679,Acre,Brazil
1913-05-01,24.963,0.952,Acre,Brazil
1913-06-01,24.708,0.799,Acre,Brazil
1913-07-01,24.963,0.873,Acre,Brazil
1913-08-01,25.957,1.428,Acre,Brazil
1913-09-01,26.528,1.29,Acre,Brazil
1913-10-01,26.834,1.388,Acre,Brazil
1913-11-01,26.562,0.632,Acre,Brazil
1913-12-01,25.97,1.143,Acre,Brazil
1914-01-01,25.954,0.846,Acre,Brazil
1914-02-01,26.171,1.505,Acre,Brazil
1914-03-01,25.858,1.514,Acre,Brazil
1914-04-01,25.402,0.806,Acre,Brazil
1914-05-01,25.431,0.957,Acre,Brazil
1914-06-01,24.762,0.672,Acre,Brazil
1914-07-01,25.12,0.679,Acre,Brazil
1914-08-01,25.73,0.529,Acre,Brazil
1914-09-01,26.564,0.499,Acre,Brazil
1914-10-01,26.348,0.849,Acre,Brazil
1914-11-01,26.162,0.625,Acre,Brazil
1914-12-01,26.526,0.797,Acre,Brazil
1915-01-01,26.421,0.997,Acre,Brazil
1915-02-01,26.376,0.703,Acre,Brazil
1915-03-01,26.581,1.318,Acre,Brazil
1915-04-01,26.469,0.639,Acre,Brazil
1915-05-01,26.241,0.818,Acre,Brazil
1915-06-01,24.6,0.663,Acre,Brazil
1915-07-01,25.382,1.339,Acre,Brazil
1915-08-01,26.247,0.742,Acre,Brazil
1915-09-01,26.759,0.757,Acre,Brazil
1915-10-01,26.588,0.567,Acre,Brazil
1915-11-01,25.629,0.742,Acre,Brazil
1915-12-01,25.626,0.566,Acre,Brazil
1916-01-01,25.162,0.878,Acre,Brazil
1916-02-01,25.251,0.859,Acre,Brazil
1916-03-01,25.444,0.652,Acre,Brazil
1916-04-01,25.489,1.205,Acre,Brazil
1916-05-01,25.278,0.651,Acre,Brazil
1916-06-01,24.002,1.138,Acre,Brazil
1916-07-01,24.027,0.993,Acre,Brazil
1916-08-01,24.872,0.927,Acre,Brazil
1916-09-01,26.672,0.531,Acre,Brazil
1916-10-01,25.771,0.702,Acre,Brazil
1916-11-01,24.665,0.822,Acre,Brazil
1916-12-01,25.16,1.007,Acre,Brazil
1917-01-01,24.902,0.933,Acre,Brazil
1917-02-01,24.553,1.287,Acre,Brazil
1917-03-01,25.398,0.71,Acre,Brazil
1917-04-01,25.025,1.023,Acre,Brazil
